Materia,Notas
Estadistica,9.9
Interactividad I,9.7
Sonido Digital,9.3
Guion II,9.0
Modelado 3D Organico,10.0
Animacion 3D,9.3
Videocomposicion I,9.2
Iluminacion,9.7
